2023-09-24 15:30:08,457 - MHScrapper - INFO - Ministry of Health data scrapping has started...
2023-09-24 15:30:23,557 - MHScrapper - INFO - getting table tag element for page 1
2023-09-24 15:30:23,620 - MHScrapper - INFO - page:1, row:1
2023-09-24 15:30:24,496 - MHScrapper - INFO - page:1, row:2
2023-09-24 15:30:25,218 - MHScrapper - INFO - page:1, row:3
2023-09-24 15:30:25,907 - MHScrapper - INFO - page:1, row:4
2023-09-24 15:30:26,586 - MHScrapper - INFO - page:1, row:5
2023-09-24 15:30:27,270 - MHScrapper - INFO - page:1, row:6
2023-09-24 15:30:27,983 - MHScrapper - INFO - page:1, row:7
2023-09-24 15:30:28,655 - MHScrapper - INFO - page:1, row:8
2023-09-24 15:30:29,375 - MHScrapper - INFO - page:1, row:9
2023-09-24 15:30:30,076 - MHScrapper - INFO - page:1, row:10
2023-09-24 15:30:30,774 - MHScrapper - INFO - page:1, row:11
2023-09-24 15:30:31,468 - MHScrapper - INFO - page:1, row:12
2023-09-24 15:30:32,163 - MHScrapper - INFO - page:1, row:13
2023-09-24 15:30:32,849 - MHScrapper - INFO - page:1, row:14
2023-09-24 15:30:33,522 - MHScrapper - INFO - page:1, row:15
2023-09-24 15:30:34,192 - MHScrapper - INFO - page:1, row:16
2023-09-24 15:30:34,914 - MHScrapper - INFO - page:1, row:17
2023-09-24 15:30:35,653 - MHScrapper - INFO - page:1, row:18
2023-09-24 15:30:36,412 - MHScrapper - INFO - page:1, row:19
2023-09-24 15:30:37,149 - MHScrapper - INFO - page:1, row:20
2023-09-24 15:30:37,900 - MHScrapper - INFO - page:1, row:21
2023-09-24 15:30:38,635 - MHScrapper - INFO - page:1, row:22
2023-09-24 15:30:39,367 - MHScrapper - INFO - page:1, row:23
2023-09-24 15:30:40,117 - MHScrapper - INFO - page:1, row:24
2023-09-24 15:30:40,861 - MHScrapper - INFO - page:1, row:25
2023-09-24 15:30:41,612 - MHScrapper - INFO - page:1, row:26
2023-09-24 15:30:42,362 - MHScrapper - INFO - page:1, row:27
2023-09-24 15:30:43,110 - MHScrapper - INFO - page:1, row:28
2023-09-24 15:30:43,861 - MHScrapper - INFO - page:1, row:29
2023-09-24 15:30:44,617 - MHScrapper - INFO - page:1, row:30
2023-09-24 15:30:45,365 - MHScrapper - INFO - page:1, row:31
2023-09-24 15:30:46,097 - MHScrapper - INFO - page:1, row:32
2023-09-24 15:30:46,851 - MHScrapper - INFO - page:1, row:33
2023-09-24 15:30:47,560 - MHScrapper - INFO - page:1, row:34
2023-09-24 15:30:48,309 - MHScrapper - INFO - page:1, row:35
2023-09-24 15:30:49,057 - MHScrapper - INFO - page:1, row:36
2023-09-24 15:30:49,779 - MHScrapper - INFO - page:1, row:37
2023-09-24 15:30:50,531 - MHScrapper - INFO - page:1, row:38
2023-09-24 15:30:51,273 - MHScrapper - INFO - page:1, row:39
2023-09-24 15:30:52,013 - MHScrapper - INFO - page:1, row:40
2023-09-24 15:30:52,742 - MHScrapper - INFO - page:1, row:41
2023-09-24 15:30:53,480 - MHScrapper - INFO - page:1, row:42
2023-09-24 15:30:54,217 - MHScrapper - INFO - page:1, row:43
2023-09-24 15:30:54,964 - MHScrapper - INFO - page:1, row:44
2023-09-24 15:30:55,706 - MHScrapper - INFO - page:1, row:45
2023-09-24 15:30:56,458 - MHScrapper - INFO - page:1, row:46
2023-09-24 15:30:57,197 - MHScrapper - INFO - page:1, row:47
2023-09-24 15:30:57,956 - MHScrapper - INFO - page:1, row:48
2023-09-24 15:30:58,703 - MHScrapper - INFO - page:1, row:49
2023-09-24 15:30:59,455 - MHScrapper - INFO - page:1, row:50
2023-09-24 15:31:00,217 - MHScrapper - INFO - page:1, row:51
2023-09-24 15:31:00,928 - MHScrapper - INFO - page:1, row:52
2023-09-24 15:31:01,647 - MHScrapper - INFO - page:1, row:53
2023-09-24 15:31:02,402 - MHScrapper - INFO - page:1, row:54
2023-09-24 15:31:03,135 - MHScrapper - INFO - page:1, row:55
2023-09-24 15:31:03,877 - MHScrapper - INFO - page:1, row:56
2023-09-24 15:31:04,610 - MHScrapper - INFO - page:1, row:57
2023-09-24 15:31:05,353 - MHScrapper - INFO - page:1, row:58
2023-09-24 15:31:06,101 - MHScrapper - INFO - page:1, row:59
2023-09-24 15:31:06,852 - MHScrapper - INFO - page:1, row:60
2023-09-24 15:31:07,594 - MHScrapper - INFO - page:1, row:61
2023-09-24 15:31:08,337 - MHScrapper - INFO - page:1, row:62
2023-09-24 15:31:09,068 - MHScrapper - INFO - page:1, row:63
2023-09-24 15:31:09,811 - MHScrapper - INFO - page:1, row:64
2023-09-24 15:31:10,589 - MHScrapper - INFO - page:1, row:65
2023-09-24 15:31:11,332 - MHScrapper - INFO - page:1, row:66
2023-09-24 15:31:12,082 - MHScrapper - INFO - page:1, row:67
2023-09-24 15:31:12,821 - MHScrapper - INFO - page:1, row:68
2023-09-24 15:31:13,581 - MHScrapper - INFO - page:1, row:69
2023-09-24 15:31:14,313 - MHScrapper - INFO - page:1, row:70
2023-09-24 15:31:15,063 - MHScrapper - INFO - page:1, row:71
2023-09-24 15:31:15,795 - MHScrapper - INFO - page:1, row:72
2023-09-24 15:31:16,541 - MHScrapper - INFO - page:1, row:73
2023-09-24 15:31:17,285 - MHScrapper - INFO - page:1, row:74
2023-09-24 15:31:18,009 - MHScrapper - INFO - page:1, row:75
2023-09-24 15:31:18,744 - MHScrapper - INFO - page:1, row:76
2023-09-24 15:31:19,480 - MHScrapper - INFO - page:1, row:77
2023-09-24 15:31:20,233 - MHScrapper - INFO - page:1, row:78
2023-09-24 15:31:20,956 - MHScrapper - INFO - page:1, row:79
2023-09-24 15:31:21,674 - MHScrapper - INFO - page:1, row:80
2023-09-24 15:31:22,426 - MHScrapper - INFO - page:1, row:81
2023-09-24 15:31:23,182 - MHScrapper - INFO - page:1, row:82
2023-09-24 15:31:23,938 - MHScrapper - INFO - page:1, row:83
2023-09-24 15:31:24,687 - MHScrapper - INFO - page:1, row:84
2023-09-24 15:31:25,433 - MHScrapper - INFO - page:1, row:85
2023-09-24 15:31:26,173 - MHScrapper - INFO - page:1, row:86
2023-09-24 15:31:26,906 - MHScrapper - INFO - page:1, row:87
2023-09-24 15:31:27,661 - MHScrapper - INFO - page:1, row:88
2023-09-24 15:31:28,435 - MHScrapper - INFO - page:1, row:89
2023-09-24 15:31:29,158 - MHScrapper - INFO - page:1, row:90
2023-09-24 15:31:29,912 - MHScrapper - INFO - page:1, row:91
2023-09-24 15:31:30,648 - MHScrapper - INFO - page:1, row:92
2023-09-24 15:31:31,390 - MHScrapper - INFO - page:1, row:93
2023-09-24 15:31:32,130 - MHScrapper - INFO - page:1, row:94
2023-09-24 15:31:32,922 - MHScrapper - INFO - page:1, row:95
2023-09-24 15:31:33,672 - MHScrapper - INFO - page:1, row:96
2023-09-24 15:31:34,443 - MHScrapper - INFO - page:1, row:97
2023-09-24 15:31:35,244 - MHScrapper - INFO - page:1, row:98
2023-09-24 15:31:35,939 - MHScrapper - INFO - page:1, row:99
2023-09-24 15:31:36,734 - MHScrapper - INFO - page:1, row:100
2023-09-24 15:31:42,477 - MHScrapper - INFO - getting table tag element for page 2
2023-09-24 15:31:42,531 - MHScrapper - INFO - page:2, row:1
2023-09-24 15:31:43,353 - MHScrapper - INFO - page:2, row:2
2023-09-24 15:31:44,090 - MHScrapper - INFO - page:2, row:3
2023-09-24 15:31:44,850 - MHScrapper - INFO - page:2, row:4
2023-09-24 15:31:45,588 - MHScrapper - INFO - page:2, row:5
2023-09-24 15:31:46,295 - MHScrapper - INFO - page:2, row:6
2023-09-24 15:31:47,043 - MHScrapper - INFO - page:2, row:7
2023-09-24 15:31:47,786 - MHScrapper - INFO - page:2, row:8
2023-09-24 15:31:48,564 - MHScrapper - INFO - page:2, row:9
2023-09-24 15:31:49,316 - MHScrapper - INFO - page:2, row:10
2023-09-24 15:31:50,049 - MHScrapper - INFO - page:2, row:11
2023-09-24 15:31:50,750 - MHScrapper - INFO - page:2, row:12
2023-09-24 15:31:51,463 - MHScrapper - INFO - page:2, row:13
2023-09-24 15:31:52,177 - MHScrapper - INFO - page:2, row:14
2023-09-24 15:31:52,996 - MHScrapper - INFO - page:2, row:15
2023-09-24 15:31:53,777 - MHScrapper - INFO - page:2, row:16
2023-09-24 15:31:54,564 - MHScrapper - INFO - page:2, row:17
2023-09-24 15:31:55,314 - MHScrapper - INFO - page:2, row:18
2023-09-24 15:31:56,056 - MHScrapper - INFO - page:2, row:19
2023-09-24 15:31:56,811 - MHScrapper - INFO - page:2, row:20
2023-09-24 15:31:57,567 - MHScrapper - INFO - page:2, row:21
2023-09-24 15:31:58,314 - MHScrapper - INFO - page:2, row:22
2023-09-24 15:31:59,070 - MHScrapper - INFO - page:2, row:23
2023-09-24 15:31:59,823 - MHScrapper - INFO - page:2, row:24
2023-09-24 15:32:00,593 - MHScrapper - INFO - page:2, row:25
2023-09-24 15:32:01,350 - MHScrapper - INFO - page:2, row:26
2023-09-24 15:32:02,087 - MHScrapper - INFO - page:2, row:27
2023-09-24 15:32:02,911 - MHScrapper - INFO - page:2, row:28
2023-09-24 15:32:03,708 - MHScrapper - INFO - page:2, row:29
2023-09-24 15:32:04,484 - MHScrapper - INFO - page:2, row:30
2023-09-24 15:32:05,205 - MHScrapper - INFO - page:2, row:31
2023-09-24 15:32:05,999 - MHScrapper - INFO - page:2, row:32
2023-09-24 15:32:06,725 - MHScrapper - INFO - page:2, row:33
2023-09-24 15:32:07,503 - MHScrapper - INFO - page:2, row:34
2023-09-24 15:32:08,216 - MHScrapper - INFO - page:2, row:35
2023-09-24 15:32:08,932 - MHScrapper - INFO - page:2, row:36
2023-09-24 15:32:09,690 - MHScrapper - INFO - page:2, row:37
2023-09-24 15:32:10,466 - MHScrapper - INFO - page:2, row:38
